text,category,priority
no water supply in sector near market,Water,Medium
dirty water coming from tap,Water,Medium
big pothole near school causing urgent,Road,High
electric pole sparks at night near market,Electricity,Medium
road surface broken near hospital causing accident,Road,High
garbage pile near residential area causing accident,Sanitation,High
damaged road causing traffic near school,Road,Medium
broken streetlight near park,Electricity,Medium
damaged road causing traffic,Road,Medium
broken streetlight near park,Electricity,Medium
broken streetlight near park,Electricity,Medium
no water supply in sector,Water,Medium
waste dumped near park,Sanitation,Low
electric pole sparks at night causing fire,Electricity,High
garbage pile near residential area causing accident,Sanitation,High
garbage pile near residential area,Sanitation,Medium
waste dumped near park near market,Sanitation,Medium
road surface broken near hospital,Road,Medium
water leakage on street causing urgent,Water,High
road crack near highway near market,Road,Medium
road crack near highway near hospital,Road,Medium
garbage pile near residential area,Sanitation,Low
road crack near highway,Road,Medium
street light not working near school,Electricity,Medium
garbage pile near residential area,Sanitation,Low
electric pole sparks at night near school,Electricity,Medium
water logging after rain near school,Water,Medium
garbage not collected near hospital,Sanitation,Medium
road surface broken near hospital,Road,Medium
open drainage causing smell near school,Sanitation,Medium
broken streetlight near park,Electricity,Low
garbage pile near residential area near hospital,Sanitation,Medium
electric pole sparks at night,Electricity,Low
street light not working,Electricity,Low
big pothole near school causing urgent,Road,High
electric wire hanging dangerously,Electricity,High
no water supply in sector,Water,Low
pipeline burst near market causing fire,Water,High
power outage in locality causing danger,Electricity,High
overflowing dustbin near market causing fire,Sanitation,High
no water supply in sector causing urgent,Water,High
power outage in locality causing accident,Electricity,High
electric pole sparks at night causing danger,Electricity,High
garbage pile near residential area causing accident,Sanitation,High
power outage in locality near hospital,Electricity,Medium
damaged road causing traffic,Road,Medium
big pothole near school,Road,Medium
electric pole sparks at night causing accident,Electricity,High
street light not working,Electricity,Low
electric pole sparks at night,Electricity,Low
power outage in locality causing urgent,Electricity,High
overflowing dustbin near market causing injury,Sanitation,High
big pothole near school near market,Road,Medium
road crack near highway near hospital,Road,Medium
broken streetlight near park,Electricity,Low
power outage in locality near school,Electricity,Medium
dirty water coming from tap,Water,Low
garbage pile near residential area,Sanitation,Low
damaged road causing traffic,Road,Medium
power outage in locality near school,Electricity,Medium
street light not working,Electricity,Medium
waste dumped near park near hospital,Sanitation,Medium
garbage pile near residential area,Sanitation,Medium
garbage not collected,Sanitation,Low
overflowing dustbin near market causing fire,Sanitation,High
pothole on main road near hospital,Road,Medium
garbage not collected near school,Sanitation,Medium
overflowing dustbin near market near school,Sanitation,Medium
garbage pile near residential area near hospital,Sanitation,Medium
water leakage on street near hospital,Water,Medium
road crack near highway causing injury,Road,High
water logging after rain,Water,Low
power outage in locality near hospital,Electricity,Medium
damaged road causing traffic,Road,Low
waste dumped near park near market,Sanitation,Medium
road crack near highway,Road,Low
damaged road causing traffic,Road,Medium
pothole on main road,Road,Medium
road surface broken near hospital,Road,Medium
open drainage causing smell causing injury,Sanitation,High
pipeline burst near market causing accident,Water,High
overflowing dustbin near market near school,Sanitation,Medium
big pothole near school,Road,Medium
electric pole sparks at night near school,Electricity,Medium
waste dumped near park,Sanitation,Medium
open drainage causing smell causing accident,Sanitation,High
pothole on main road causing accident,Road,High
road crack near highway near market,Road,Medium
dirty water coming from tap,Water,Low
power outage in locality,Electricity,Low
waste dumped near park near school,Sanitation,Medium
water leakage on street,Water,Low
power outage in locality,Electricity,Medium
big pothole near school,Road,Medium
damaged road causing traffic near school,Road,Medium
damaged road causing traffic near hospital,Road,Medium
big pothole near school,Road,Medium
pipeline burst near market causing fire,Water,High
pipeline burst near market causing danger,Water,High
power outage in locality causing danger,Electricity,High
road crack near highway causing injury,Road,High
broken streetlight near park,Electricity,Medium
dirty water coming from tap,Water,Low
electric wire hanging dangerously causing fire,Electricity,High
street light not working,Electricity,Medium
water logging after rain causing danger,Water,High
no water supply in sector causing fire,Water,High
road crack near highway causing danger,Road,High
water logging after rain near hospital,Water,Medium
pothole on main road causing fire,Road,High
road surface broken near hospital near hospital,Road,Medium
overflowing dustbin near market near hospital,Sanitation,Medium
waste dumped near park,Sanitation,Medium
road surface broken near hospital causing injury,Road,High
overflowing dustbin near market near hospital,Sanitation,Medium
broken streetlight near park,Electricity,Low
open drainage causing smell near school,Sanitation,Medium
overflowing dustbin near market,Sanitation,Medium
electric wire hanging dangerously,Electricity,High
garbage not collected causing accident,Sanitation,High
electric wire hanging dangerously,Electricity,High
garbage not collected,Sanitation,Medium
garbage not collected near market,Sanitation,Medium
big pothole near school causing urgent,Road,High
overflowing dustbin near market near hospital,Sanitation,Medium
garbage not collected,Sanitation,Medium
garbage not collected,Sanitation,Low
waste dumped near park,Sanitation,Low
garbage not collected,Sanitation,Low
garbage not collected near school,Sanitation,Medium
water logging after rain causing accident,Water,High
damaged road causing traffic near hospital,Road,Medium
street light not working causing urgent,Electricity,High
water leakage on street,Water,Low
water logging after rain near hospital,Water,Medium
garbage pile near residential area near hospital,Sanitation,Medium
electric pole sparks at night,Electricity,Medium
waste dumped near park,Sanitation,Medium
electric wire hanging dangerously near hospital,Electricity,High
open drainage causing smell,Sanitation,Medium
street light not working near market,Electricity,Medium
waste dumped near park,Sanitation,Medium
no water supply in sector near hospital,Water,Medium
overflowing dustbin near market causing danger,Sanitation,High
overflowing dustbin near market near hospital,Sanitation,Medium
broken streetlight near park causing danger,Electricity,High
street light not working near market,Electricity,Medium
power outage in locality near market,Electricity,Medium
open drainage causing smell causing urgent,Sanitation,High
damaged road causing traffic,Road,Low
road crack near highway,Road,Low
dirty water coming from tap causing urgent,Water,High
big pothole near school near market,Road,Medium
broken streetlight near park causing fire,Electricity,High
garbage not collected causing danger,Sanitation,High
dirty water coming from tap causing fire,Water,High
broken streetlight near park,Electricity,Medium
broken streetlight near park near hospital,Electricity,Medium
road surface broken near hospital near school,Road,Medium
